ID,p_a,p_b,delta,abs_delta,pred_a,pred_b,crossed,conf_a,conf_b,conf_delta,zone_a,zone_b
fd622e92-35bf-4a6a-a15b-f82bac4f5704_0,0.0675566413803627,0.375,0.3074433586196373,0.3074433586196373,0,0,0,0.4324433586196373,0.125,-0.3074433586196373,<0.2,0.2-0.4
d20f097f-7db3-4562-a55d-bf3bdbfe8360_0,0.8897999265117302,0.5882352941176471,-0.30156463239408315,0.30156463239408315,1,1,0,0.38979992651173023,0.08823529411764708,-0.30156463239408315,>0.8,0.4-0.6
a61be6b8-1f1d-4b22-ac8d-25eb621b4007_1,0.0754484629026895,0.375,0.2995515370973105,0.2995515370973105,0,0,0,0.4245515370973105,0.125,-0.2995515370973105,<0.2,0.2-0.4
359e808e-d46c-43cf-a8db-eb2dc6b980f4_1,0.0789823664661963,0.375,0.2960176335338037,0.2960176335338037,0,0,0,0.4210176335338037,0.125,-0.2960176335338037,<0.2,0.2-0.4
b33ba65d-845e-4b09-90cc-36784a3542c8_0,0.0906220486927455,0.3818181818181818,0.2911961331254363,0.2911961331254363,0,0,0,0.4093779513072545,0.11818181818181822,-0.2911961331254363,<0.2,0.2-0.4
d87215a5-fbac-4ff7-84f4-e3bc7ff880c0_1,0.0915357870097223,0.3818181818181818,0.29028239480845947,0.29028239480845947,0,0,0,0.4084642129902777,0.11818181818181822,-0.29028239480845947,<0.2,0.2-0.4
e41c52de-ae46-4465-af08-c1ee5a8aa31f_0,0.8751355044030986,0.5882352941176471,-0.28690021028545154,0.28690021028545154,1,1,0,0.3751355044030986,0.08823529411764708,-0.28690021028545154,>0.8,0.4-0.6
f0cdca4a-a66f-4dfa-b3b4-7e13fc330b4b_0,0.8738324227261277,0.5882352941176471,-0.28559712860848063,0.28559712860848063,1,1,0,0.3738324227261277,0.08823529411764708,-0.28559712860848063,>0.8,0.4-0.6
cebca8f6-7e7c-4c29-b2d1-79722bed5926_0,0.8767849134858833,0.5942273360969011,-0.28255757738898213,0.28255757738898213,1,1,0,0.3767849134858833,0.09422733609690115,-0.28255757738898213,>0.8,0.4-0.6
61a25017-fa88-409f-9616-00c9c6c40830_1,0.1022124404672489,0.3818181818181818,0.27960574135093286,0.27960574135093286,0,0,0,0.39778755953275113,0.11818181818181822,-0.2796057413509329,<0.2,0.2-0.4
